timestamp,district,season,hour,temperature_c,humidity_percent,rainfall_mm,solar_irradiance_wm2,wind_speed_ms,pressure_hpa,soil_moisture_percent,crop_stage,irrigation_demand_level,electricity_consumption_kwh,water_consumption_m3,gas_consumption_m3,renewable_energy_kwh,weather_condition,heat_index_c,smart_irrigation_action,outdoor_advice,farmer_field_advice,electricity_cost_tk,water_cost_tk,gas_cost_tk,hourly_cost_tk,currency_symbol
2026-04-01 00:00:00,Dhaka,Pre-Monsoon,0,25.97,68,0,0,4,1010.0,36,Seedling,4,3.3,1.67,0.99,1,Clear,31.41,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.05,4.18,3.17,35.4,৳
2026-04-01 01:00:00,Dhaka,Pre-Monsoon,1,25.8,68,0,0,5,1010.0,36,Seedling,4,3.36,1.67,1.03,1,Clear,31.24,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.56,4.18,3.3,36.04,৳
2026-04-01 02:00:00,Dhaka,Pre-Monsoon,2,25.97,68,0,0,5,1010.0,36,Seedling,4,3.38,1.67,1.05,1,Clear,31.41,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.73,4.18,3.36,36.27,৳
2026-04-01 03:00:00,Dhaka,Pre-Monsoon,3,26.47,67,0,0,5,1010.0,36,Seedling,4,3.36,1.67,1.06,1,Clear,31.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.56,4.18,3.39,36.13,৳
2026-04-01 04:00:00,Dhaka,Pre-Monsoon,4,27.26,67,0,0,5,1010.0,36,Seedling,4,3.3,1.67,1.05,1,Clear,32.62,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.05,4.18,3.36,35.59,৳
2026-04-01 05:00:00,Dhaka,Pre-Monsoon,5,28.3,66,0,0,5,1010.0,36,Seedling,4,3.2,1.67,1.03,1,Clear,33.58,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.2,4.18,3.3,34.68,৳
2026-04-01 06:00:00,Dhaka,Pre-Monsoon,6,29.51,65,0,0,4,1010.0,36,Seedling,4,3.08,1.67,0.99,1,Clear,34.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.18,4.18,3.17,33.53,৳
2026-04-01 07:00:00,Dhaka,Pre-Monsoon,7,30.8,64,0,197,4,1010.0,36,Seedling,4,3.29,1.67,0.94,4,Clear,35.92,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.96,4.18,3.01,35.15,৳
2026-04-01 08:00:00,Dhaka,Pre-Monsoon,8,32.09,64,0,380,3,1010.0,36,Seedling,4,3.46,1.67,0.88,8,Clear,37.21,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.41,4.18,2.82,36.41,৳
2026-04-01 09:00:00,Dhaka,Pre-Monsoon,9,33.3,63,0,537,3,1010.0,34,Seedling,4,3.9,1.67,0.82,11,Sunny,38.34,Water ON,Safe to Go Outside,Go to Field for Irrigation,33.15,4.18,2.62,39.95,৳
2026-04-01 10:00:00,Dhaka,Pre-Monsoon,10,34.34,62,0,658,3,1010.0,33,Seedling,4,4.26,1.67,0.88,13,Sunny,39.3,Water ON,Safe to Go Outside,Go to Field for Irrigation,36.21,4.18,2.82,43.21,৳
2026-04-01 11:00:00,Dhaka,Pre-Monsoon,11,35.13,61,0,734,4,1010.0,32,Seedling,4,5.53,1.67,0.94,15,Sunny,40.01,Water ON,Safe to Go Outside,Go to Field for Irrigation,47.0,4.18,3.01,54.19,৳
2026-04-01 12:00:00,Dhaka,Pre-Monsoon,12,35.63,61,0,760,4,1010.0,32,Seedling,5,5.79,1.95,0.99,15,Sunny,40.51,Water ON,Safe to Go Outside,Go to Field for Irrigation,49.22,4.88,3.17,57.27,৳
2026-04-01 13:00:00,Dhaka,Pre-Monsoon,13,35.8,61,0,734,5,1010.0,31,Seedling,5,5.8,1.95,1.03,15,Sunny,40.68,Water ON,Safe to Go Outside,Go to Field for Irrigation,49.3,4.88,3.3,57.48,৳
2026-04-01 14:00:00,Dhaka,Pre-Monsoon,14,35.63,61,0,658,5,1010.0,32,Seedling,5,5.68,1.95,1.05,13,Sunny,40.51,Water ON,Safe to Go Outside,Go to Field for Irrigation,48.28,4.88,3.36,56.52,৳
2026-04-01 15:00:00,Dhaka,Pre-Monsoon,15,35.13,61,0,537,5,1010.0,32,Seedling,4,5.33,1.67,1.06,11,Sunny,40.01,Water ON,Safe to Go Outside,Go to Field for Irrigation,45.3,4.18,3.39,52.87,৳
2026-04-01 16:00:00,Dhaka,Pre-Monsoon,16,34.34,78,10,127,7,1001.0,51,Seedling,0,3.05,0.55,1.05,3,Heavy Rain,40.58,Water OFF,Do Not Go Outside,Delay Field Visit,25.92,1.38,3.36,30.66,৳
2026-04-01 17:00:00,Dhaka,Pre-Monsoon,17,33.3,79,10,66,6,1001.0,52,Seedling,0,2.84,0.55,1.03,2,Heavy Rain,39.62,Water OFF,Do Not Go Outside,Delay Field Visit,24.14,1.38,3.3,28.82,৳
2026-04-01 18:00:00,Dhaka,Pre-Monsoon,18,32.09,78,9,0,6,1001.9,52,Seedling,0,2.6,0.55,0.99,1,Heavy Rain,38.33,Water OFF,Do Not Go Outside,Delay Field Visit,22.1,1.38,3.17,26.65,৳
2026-04-01 19:00:00,Dhaka,Pre-Monsoon,19,30.8,76,7,0,5,1003.7,49,Seedling,1,2.58,0.83,0.94,1,Light Rain,36.88,Water OFF,Go Outside With Caution,Routine Check Optional,21.93,2.07,3.01,27.01,৳
2026-04-01 20:00:00,Dhaka,Pre-Monsoon,20,29.51,65,0,0,3,1010.0,36,Seedling,4,2.78,1.67,0.88,0,Clear,34.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,23.63,4.18,2.82,30.63,৳
